ArtistName,Times
Surf Mesa, 49
Stuff To Blow Your Mind, 1
The Big Fat Indian Ghotala, 1
Drake, 538
Sofi Tukker, 86
Behind The Scenes | Animation, 1
Radiolab, 28
The Real Python Podcast, 12
99% Invisible, 4
BBC Earth Podcast, 2
Science Rules! with Bill Nye, 3
Magoosh IELTS English Vocabulary & Dialogue, 2
Jimmy Durante, 47
The Guess Who, 5
Frank Sinatra, 21
Fred Astaire, 2
Ezra Furman, 235
Cyn, 13
Billie Eilish, 257
Bazzi, 63
Loud Luxury, 34
RL Grime, 1
iMarkkeyz, 1
Daði Freyr, 84
8D Tunes, 12
SAINt JHN, 115
Powfu, 89
Lil Mosey, 24
Dua Lipa, 222
Tones And I, 47
Roddy Ricch, 14
Doja Cat, 21
Justin Bieber, 229
Trevor Daniel, 97
Anne-Marie, 7
Ciara, 1
DJ Khaled, 31
Embrace Of Hedera, 1
Bruno Mars, 21
Ed Sheeran, 324
Unknown Artist, 93
Sachin-Jigar, 2
Yellow Claw, 29
Hamilton Leithauser, 1
Hans Zimmer, 190
Shawn Mendes, 164
Local Natives, 3
bülow, 1
Quinn XCII, 4
Selena Gomez, 94
Alan Walker, 164
K-391, 3
Au/Ra, 1
Steve Aoki, 30
blackbear, 55
Kygo, 73
The Weeknd, 186
Missing Persons, 6
Ashe, 73
Kehlani, 34
Charlie Puth, 85
Camila Cabello, 94
BENEE, 40
Future, 16
Josh Richards, 12
Imagine Dragons, 517
Zedd, 67
Wild Nothing, 15
Regard, 61
Bobby Vinton, 27
Major Lazer, 153
Chip Taylor, 10
Lauv, 95
The Chainsmokers, 731
Emir Can İğrek, 68
Deorro, 22
DJ Snake, 459
Vilde Skogen, 9
Keişan, 4
Post Malone, 845
Gazapizm, 6
Hindia, 11
Khalid, 125
Leon Else, 34
Wiley, 8
Y2K, 49
Taylor Swift, 164
LIL NIX, 5
Anuel AA, 5
Cookiee Kawaii, 14
benny blanco, 64
Ant Saunders, 20
J.J. Cale, 5
Don Diablo, 11
lovelytheband, 13
Sean Paul, 54
Lukas Graham, 13
Skrillex, 79
Lil Nas X, 33
Jai Wolf, 8
Lewis Capaldi, 41
MARINA, 22
Bad Bunny, 38
Lil Kapow, 5
Ariana Grande, 126
Gaho, 10
CNCO, 25
Harry Styles, 222
will.i.am, 6
Diplo, 16
LoveLeo, 6
24kGoldn, 29
Maroon 5, 92
Sam Smith, 68
Demi Lovato, 25
Luis Fonsi, 30
George Ezra, 60
MEDUZA, 15
The New Yorkers, 10
Yofrangel, 7
Chris Brown, 15
Olivia Rodrigo, 12
Twinsmith, 19
2015 Dynamo Hitz, 4
5 Seconds of Summer, 47
KAROL G, 15
Mawar de Jongh, 6
Working for a Nuclear Free City, 37
Erin McCarley, 23
MC Fioti, 14
Donflexxy, 7
Joy Division, 20
Spanker, 14
Martin Garrix, 302
GRLwood, 114
Soulstice, 12
Lukas, 5
UPSAHL, 3
İkiye On Kala, 12
Juice WRLD, 77
SHAED, 15
Naughty Boy, 7
The Game, 3
Dusty Springfield, 8
ZICO, 11
Arizona Zervas, 20
Pop Smoke, 32
Lil Baby, 79
Megan Thee Stallion, 8
Surfaces, 17
Playboi Carti, 10
Raja Kumari, 2
Lil Xxel, 184
Young T & Bugsey, 19
Eslabon Armado, 10
BLIND.SEE, 11
DripReport, 36
Brye, 102
Sleepy Hallow, 51
Rina Sawayama, 6
Joseph Black, 20
Vicetone, 14
Don Toliver, 21
Moe, 37
King Critical, 1
Kari Jobe, 32
Jaah SLT, 11
Topic, 80
Olivia O'Brien, 45
Tyga, 16
Natalie Taylor, 12
Lil Memer, 2
Turbo, 13
Jelani Aryeh, 94
AG Club, 11
Alaina Castillo, 35
Louis The Child, 8
Princess Nokia, 4
Camilo, 2
Joshua Bassett, 64
jxdn, 12
Porte Diferente, 1
Tiagz, 78
BIA, 1
Thomas Rhett, 107
G Herbo, 1
Madison Beer, 3
Peach Tree Rascals, 76
NLE Choppa, 3
The Kid LAROI, 10
Headass, 1
Rex Orange County, 1
Panic! At The Disco, 4
Lady Gaga, 49
Mabel, 16
Charlotte Lawrence, 1
Niall Horan, 4
Louis Tomlinson, 2
Christian French, 1
HRVY, 1
Labrinth, 3
Verzache, 1
Sabrina Carpenter, 1
Jack & Jack, 1
Robin Schulz, 5
PRETTYMUCH, 2
Tate McRae, 6
Liam Payne, 2
mxmtoon, 1
Dominic Fike, 1
Lil Tecca, 10
PLVTINUM, 1
Ava Max, 16
Ruel, 1
JAWNY, 1
Jeremy Zucker, 19
Tory Lanez, 1
Bea Miller, 8
SAYGRACE, 6
Ali Gatie, 1
Lennon Stella, 4
Katy Perry, 26
Mae Muller, 1
Katja Krasavice, 1
Vantage, 6
Los Dos Carnales, 3
Koe Wetzel, 1
Twenty One Pilots, 882
Melanie Martinez, 58
645AR, 1
Alexander 23, 109
Lewis Brice, 9
Bryson Tiller, 6
Elevation Worship, 12
Kylie Morgan, 5
The Alan Parsons Project, 1
JP Saxe, 2
Rezz, 6
Kenny Elrod, 10
Barlito, 40
JoeVille, 11
StaySolidRocky, 13
